"filename", "language", "JSON with Comments", "JavaScript", "TypeScript", "JSON", "Markdown", "comment", "blank", "total"
"c:\Users\Dodo\Desktop\Projeler\smartmoles-nest-backend\src\frameworks\data-services\mongo\model\hardwares\irrigation-types.model.ts", "TypeScript", 0, 0, 19, 0, 0, 1, 4, 24
"c:\Users\Dodo\Desktop\Projeler\smartmoles-nest-backend\src\frameworks\data-services\mongo\model\hardwares\modem.models.ts", "TypeScript", 0, 0, 14, 0, 0, 1, 4, 19
"c:\Users\Dodo\Desktop\Projeler\smartmoles-nest-backend\src\frameworks\data-services\mongo\model\hardwares\simcards.model.ts", "TypeScript", 0, 0, 17, 0, 0, 1, 4, 22
"c:\Users\Dodo\Desktop\Projeler\smartmoles-nest-backend\src\frameworks\data-services\mongo\model\index.ts", "TypeScript", 0, 0, 24, 0, 0, 8, 9, 41
"c:\Users\Dodo\Desktop\Projeler\smartmoles-nest-backend\src\frameworks\data-services\mongo\model\logger\logger.model.ts", "TypeScript", 0, 0, 20, 0, 0, 1, 4, 25
"c:\Users\Dodo\Desktop\Projeler\smartmoles-nest-backend\src\frameworks\data-services\mongo\model\permissions\permission-groups.model.ts", "TypeScript", 0, 0, 21, 0, 0, 1, 4, 26
"c:\Users\Dodo\Desktop\Projeler\smartmoles-nest-backend\src\frameworks\data-services\mongo\model\permissions\permission.model.ts", "TypeScript", 0, 0, 15, 0, 0, 1, 4, 20
"c:\Users\Dodo\Desktop\Projeler\smartmoles-nest-backend\src\frameworks\data-services\mongo\model\pumps\pumps.model.ts", "TypeScript", 0, 0, 21, 0, 0, 1, 4, 26
"c:\Users\Dodo\Desktop\Projeler\smartmoles-nest-backend\src\frameworks\data-services\mongo\model\qrCode.model.ts", "TypeScript", 0, 0, 20, 0, 0, 0, 4, 24
"c:\Users\Dodo\Desktop\Projeler\smartmoles-nest-backend\src\frameworks\data-services\mongo\model\subscription.model.ts\subscription.model.ts", "TypeScript", 0, 0, 48, 0, 0, 1, 4, 53
"c:\Users\Dodo\Desktop\Projeler\smartmoles-nest-backend\src\frameworks\data-services\mongo\model\user.model.ts", "TypeScript", 0, 0, 30, 0, 0, 0, 15, 45
